Ee-scaffold615.g1	scaffold615.g1.t1
Ee-scaffold615.g2	scaffold615.g2.t1
Ee-scaffold615.g2	scaffold615.g2.t2
Ee-scaffold615.g2	scaffold615.g2.t3
Ee-scaffold615.g2	scaffold615.g2.t4
Ee-scaffold615.g3	scaffold615.g3.t1
Ee-scaffold615.g3	scaffold615.g3.t2
Ee-scaffold615.g3	scaffold615.g3.t3
Ee-scaffold615.g4	scaffold615.g4.t1
Ee-scaffold615.g5	scaffold615.g5.t1
Ee-scaffold615.g6	scaffold615.g6.t1
Ee-scaffold615.g7	scaffold615.g7.t1
Ee-scaffold615.g8	scaffold615.g8.t1
Ee-scaffold615.g9	scaffold615.g9.t1
Ee-scaffold615.g10	scaffold615.g10.t1
Ee-scaffold615.g11	scaffold615.g11.t1
Ee-scaffold615.g12	scaffold615.g12.t1
Ee-scaffold615.g12	scaffold615.g12.t2
Ee-scaffold615.g12	scaffold615.g12.t3
Ee-scaffold615.g12	scaffold615.g12.t4
Ee-scaffold615.g13	scaffold615.g13.t1
Ee-scaffold615.g14	scaffold615.g14.t1
Ee-scaffold615.g15	scaffold615.g15.t1
Ee-scaffold615.g16	scaffold615.g16.t1
Ee-scaffold615.g17	scaffold615.g17.t1
Ee-scaffold615.g18	scaffold615.g18.t1
Ee-scaffold615.g19	scaffold615.g19.t1
Ee-scaffold615.g20	scaffold615.g20.t1
Ee-scaffold615.g21	scaffold615.g21.t1
Ee-scaffold615.g22	scaffold615.g22.t1
Ee-scaffold615.g23	scaffold615.g23.t1
Ee-scaffold615.g24	scaffold615.g24.t1
Ee-scaffold615.g25	scaffold615.g25.t1
Ee-scaffold615.g26	scaffold615.g26.t1
Ee-scaffold615.g26	scaffold615.g26.t2
Ee-scaffold615.g26	scaffold615.g26.t3
Ee-scaffold615.g26	scaffold615.g26.t4
Ee-scaffold615.g27	scaffold615.g27.t1
Ee-scaffold615.g28	scaffold615.g28.t1
Ee-scaffold615.g29	scaffold615.g29.t1
Ee-scaffold615.g30	scaffold615.g30.t1
Ee-scaffold615.g30	scaffold615.g30.t2
Ee-scaffold615.g31	scaffold615.g31.t1
Ee-scaffold615.g32	scaffold615.g32.t1
Ee-scaffold615.g32	scaffold615.g32.t2
Ee-scaffold615.g33	scaffold615.g33.t1
Ee-scaffold615.g34	scaffold615.g34.t1
Ee-scaffold615.g34	scaffold615.g34.t2
Ee-scaffold615.g35	scaffold615.g35.t1
Ee-scaffold615.g36	scaffold615.g36.t1
Ee-scaffold615.g37	scaffold615.g37.t1
Ee-scaffold615.g38	scaffold615.g38.t1
Ee-scaffold258.g1	scaffold258.g1.t1
Ee-scaffold258.g2	scaffold258.g2.t1
Ee-scaffold258.g3	scaffold258.g3.t1
Ee-scaffold258.g4	scaffold258.g4.t1
Ee-scaffold258.g5	scaffold258.g5.t1
Ee-scaffold258.g6	scaffold258.g6.t1
Ee-scaffold258.g6	scaffold258.g6.t2
Ee-scaffold258.g7	scaffold258.g7.t1
Ee-scaffold258.g8	scaffold258.g8.t1
Ee-scaffold258.g9	scaffold258.g9.t1
Ee-scaffold258.g9	scaffold258.g9.t2
Ee-scaffold258.g10	scaffold258.g10.t1
Ee-scaffold258.g11	scaffold258.g11.t1
Ee-scaffold258.g12	scaffold258.g12.t1
Ee-scaffold258.g13	scaffold258.g13.t1
Ee-scaffold258.g14	scaffold258.g14.t1
Ee-scaffold258.g15	scaffold258.g15.t1
Ee-scaffold258.g16	scaffold258.g16.t1
Ee-scaffold258.g17	scaffold258.g17.t1
Ee-scaffold258.g18	scaffold258.g18.t1
Ee-scaffold258.g18	scaffold258.g18.t2
Ee-scaffold258.g19	scaffold258.g19.t1
Ee-scaffold258.g20	scaffold258.g20.t1
Ee-scaffold258.g21	scaffold258.g21.t1
Ee-scaffold258.g21	scaffold258.g21.t2
Ee-scaffold258.g21	scaffold258.g21.t3
Ee-scaffold258.g22	scaffold258.g22.t1
Ee-scaffold258.g22	scaffold258.g22.t2
Ee-scaffold258.g22	scaffold258.g22.t3
Ee-scaffold258.g22	scaffold258.g22.t4
Ee-scaffold258.g23	scaffold258.g23.t1
Ee-scaffold258.g24	scaffold258.g24.t1
Ee-scaffold258.g24	scaffold258.g24.t2
Ee-scaffold376.g1	scaffold376.g1.t1
Ee-scaffold376.g2	scaffold376.g2.t1
Ee-scaffold376.g3	scaffold376.g3.t1
Ee-scaffold376.g4	scaffold376.g4.t1
Ee-scaffold376.g4	scaffold376.g4.t2
Ee-scaffold376.g5	scaffold376.g5.t1
Ee-scaffold376.g6	scaffold376.g6.t1
Ee-scaffold376.g7	scaffold376.g7.t1
Ee-scaffold376.g8	scaffold376.g8.t1
Ee-scaffold376.g9	scaffold376.g9.t1
Ee-scaffold376.g9	scaffold376.g9.t2
Ee-scaffold376.g9	scaffold376.g9.t3
Ee-scaffold376.g10	scaffold376.g10.t1
Ee-scaffold376.g10	scaffold376.g10.t2
Ee-scaffold376.g10	scaffold376.g10.t3
Ee-scaffold376.g10	scaffold376.g10.t4
Ee-scaffold376.g10	scaffold376.g10.t5
Ee-scaffold376.g10	scaffold376.g10.t6
Ee-scaffold376.g10	scaffold376.g10.t7
Ee-scaffold376.g11	scaffold376.g11.t1
Ee-scaffold376.g12	scaffold376.g12.t1
Ee-scaffold376.g13	scaffold376.g13.t1
Ee-scaffold376.g14	scaffold376.g14.t1
Ee-scaffold376.g14	scaffold376.g14.t2
Ee-scaffold376.g15	scaffold376.g15.t1
Ee-scaffold376.g16	scaffold376.g16.t1
Ee-scaffold376.g17	scaffold376.g17.t1
Ee-scaffold376.g18	scaffold376.g18.t1
Ee-scaffold376.g19	scaffold376.g19.t1
Ee-scaffold376.g19	scaffold376.g19.t2
Ee-scaffold376.g20	scaffold376.g20.t1
Ee-scaffold376.g20	scaffold376.g20.t2
Ee-scaffold376.g20	scaffold376.g20.t3
Ee-scaffold376.g21	scaffold376.g21.t1
Ee-scaffold376.g21	scaffold376.g21.t2
Ee-scaffold376.g21	scaffold376.g21.t3
Ee-scaffold376.g22	scaffold376.g22.t1
Ee-scaffold376.g23	scaffold376.g23.t1
Ee-scaffold376.g24	scaffold376.g24.t1
Ee-scaffold376.g24	scaffold376.g24.t2
Ee-scaffold376.g25	scaffold376.g25.t1
Ee-scaffold376.g26	scaffold376.g26.t1
Ee-scaffold376.g27	scaffold376.g27.t1
Ee-scaffold376.g28	scaffold376.g28.t1
Ee-scaffold376.g29	scaffold376.g29.t1
Ee-scaffold376.g30	scaffold376.g30.t1
Ee-scaffold376.g31	scaffold376.g31.t1
Ee-scaffold376.g31	scaffold376.g31.t2
Ee-scaffold376.g32	scaffold376.g32.t1
Ee-scaffold376.g33	scaffold376.g33.t1
Ee-scaffold376.g34	scaffold376.g34.t1
Ee-scaffold376.g35	scaffold376.g35.t1
Ee-scaffold376.g35	scaffold376.g35.t2
Ee-scaffold376.g36	scaffold376.g36.t1
